#RESOURCE=yCat_35860049
#Name: J/A+A/586/A49
#Title: r- and s- process elements in Milky Way disk (Battistini+, 2016)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table J_A_A_586_A49_abundances:
#Name: J/A+A/586/A49/abundances
#Title: Stellar parameters, abundances (table4), and single line abundances (table3)
#---Details of Columns:
#    Teff (K)       (I4)    Effective temperature [ucd=phys.temperature.effective]
#    [Fe/H] ([Sun]) (F5.2)  Abundance ratio Fe/H normalised to Sun [ucd=phys.abund]
#    [Eu/H] ([Sun]) (F5.2)  ? Abundance ratio Eu/H normalised to Sun [ucd=phys.abund]
#---- ----- -----
#     [Fe/  [Eu/ 
#Teff H] ([ H] ([
#(K)  Sun]) Sun])
#---- ----- -----
5872  0.23  0.09
5586 -0.20 -0.13
5607  0.30 0
5081 -0.28 0
6195 -0.63 0
5761  0.16  0.01
5646 -0.66 0
5646  0.01  0.02
5701  0.08  0.11
5508 -0.20 -0.08
5743 -0.24 -0.13
5813 -0.77 -0.31
5702 -0.31 0
5720 -0.45 -0.17
5107 -0.75 0
6355 -0.24 -0.10
5600 -0.34  0.00
5998 -0.42 -0.17
5613  0.03 0
5963 -0.31 -0.14
5799 -0.08 -0.01
5987 -0.11  0.00
5062 -0.75 0
5990 -0.29 0
5430  0.13  0.07
6075  0.01  0.00
5841  0.04 0
6272 -0.08 -0.03
5496  0.19  0.32
5976 -0.14 -0.10
6224 -0.37 0
5540  0.24  0.30
5803  0.13 0
5921 -0.06 0
5723 -0.20 -0.03
5848 -0.13 -0.07
5797 -0.07 0
5828  0.20 0
5907 -0.14  0.02
5365 -0.27 -0.06
5796 -0.27 -0.16
6577 -0.09  0.13
5678 -0.26 -0.15
4996 -0.77 0
5802 -0.27 0
5952  0.02  0.09
5656  0.29 0
5622 -0.17 0
5145 -0.26 0
5522 -0.34 -0.03
5534 -0.48 -0.11
5282 -0.45 0
5638 -0.37 -0.21
5353  0.19 0
5692  0.13 0
5527 -0.18 0
5613 -0.14  0.06
5975  0.29 0
5858  0.24 0
5736 -0.06  0.06
5647  0.34 0
5665 -0.28 -0.15
5793 -0.28 -0.08
5423 -0.12 -0.05
5757 -0.14 -0.05
5070 -0.24 -0.08
5605  0.02 0
5748  0.04  0.08
5935 -0.05 -0.06
5386 -0.03 0
