###########################################################################
# Data from Schruba et al. (2011)
# Digitized by S. Ploeckinger from fig. A1
# Distances for individual galaxies from NED (mean/stdev from literature)
# column 1: galaxy
# column 2: mean distance to the galaxy from NED [Mpc]
# column 3: standard deviation from distance measurements [Mpc]
# column 4: radial distance of 15 arcseconds shell [arcseconds]
# column 5: HI surface density [Msol / pc-2]
# column 6: H2 surface density [Msol / pc-2]
# column 7: flag for H2 measurements: 0 ... high significance measurement
#                                     1 ... marginal significance
#                                     2 ... 3 sigma upper limit
###########################################################################
NGC2798	24.83	5.21	82.5	0.17	0.52	1
NGC2798	24.83	5.21	97.5	0.09	0.83	2
NGC2798	24.83	5.21	112.5	0.13	0.67	2
NGC2798	24.83	5.21	127.5	0.22	1.50	0
NGC2798	24.83	5.21	142.5	0.17	1.18	2
NGC2798	24.83	5.21	157.5	nan	nan	nan
NGC2798	24.83	5.21	172.5	nan	nan	nan
NGC2798	24.83	5.21	187.5	nan	nan	nan
NGC2798	24.83	5.21	202.5	nan	nan	nan
NGC2798	24.83	5.21	217.5	nan	nan	nan
NGC2798	24.83	5.21	232.5	nan	nan	nan
NGC2798	24.83	5.21	247.5	nan	nan	nan
NGC2798	24.83	5.21	262.5	nan	nan	nan
NGC2798	24.83	5.21	277.5	nan	nan	nan
NGC2798	24.83	5.21	292.5	nan	nan	nan
NGC2798	24.83	5.21	307.5	nan	nan	nan
NGC2798	24.83	5.21	322.5	nan	nan	nan
NGC2798	24.83	5.21	337.5	nan	nan	nan
NGC2798	24.83	5.21	352.5	nan	nan	nan
NGC2798	24.83	5.21	367.5	nan	nan	nan
NGC2798	24.83	5.21	382.5	nan	nan	nan
NGC2798	24.83	5.21	397.5	nan	nan	nan
NGC2841	16.34	4.65	7.5	0.46	nan	2
NGC2841	16.34	4.65	22.5	0.54	0.94	2
NGC2841	16.34	4.65	37.5	0.65	2.57	1
NGC2841	16.34	4.65	52.5	1.18	3.58	1
NGC2841	16.34	4.65	67.5	1.78	5.07	0
NGC2841	16.34	4.65	82.5	2.28	5.40	0
NGC2841	16.34	4.65	97.5	2.57	4.13	0
NGC2841	16.34	4.65	112.5	2.52	3.16	0
NGC2841	16.34	4.65	127.5	2.74	2.32	0
NGC2841	16.34	4.65	142.5	2.85	1.48	0
NGC2841	16.34	4.65	157.5	2.91	1.42	1
NGC2841	16.34	4.65	172.5	2.80	0.77	1
NGC2841	16.34	4.65	187.5	2.32	0.39	2
NGC2841	16.34	4.65	202.5	2.14	0.40	2
NGC2841	16.34	4.65	217.5	2.23	0.44	2
NGC2841	16.34	4.65	232.5	2.18	0.46	2
NGC2841	16.34	4.65	247.5	2.05	0.52	2
NGC2841	16.34	4.65	262.5	2.05	0.62	2
NGC2841	16.34	4.65	277.5	1.89	0.65	2
NGC2841	16.34	4.65	292.5	2.01	1.00	2
NGC2841	16.34	4.65	307.5	2.18	1.85	2
NGC2841	16.34	4.65	322.5	nan	nan	nan
NGC2841	16.34	4.65	337.5	nan	nan	nan
NGC2841	16.34	4.65	352.5	nan	nan	nan
NGC2841	16.34	4.65	367.5	nan	nan	nan
NGC2841	16.34	4.65	382.5	nan	nan	nan
NGC2841	16.34	4.65	397.5	nan	nan	nan
NGC2903	7.99	1.91	7.5	4.04	nan	2
NGC2903	7.99	1.91	22.5	4.57	57.59	0
NGC2903	7.99	1.91	37.5	5.16	46.95	0
NGC2903	7.99	1.91	52.5	6.60	53.07	0
NGC2903	7.99	1.91	67.5	6.74	35.99	0
NGC2903	7.99	1.91	82.5	6.74	27.04	0
NGC2903	7.99	1.91	97.5	7.02	17.25	0
NGC2903	7.99	1.91	112.5	7.16	11.46	0
NGC2903	7.99	1.91	127.5	6.88	5.60	0
NGC2903	7.99	1.91	142.5	5.84	2.74	0
NGC2903	7.99	1.91	157.5	4.30	1.48	0
NGC2903	7.99	1.91	172.5	3.29	0.80	2
NGC2903	7.99	1.91	187.5	2.58	0.44	1
NGC2903	7.99	1.91	202.5	2.47	0.52	2
NGC2903	7.99	1.91	217.5	2.33	0.43	2
NGC2903	7.99	1.91	232.5	2.74	0.48	2
NGC2903	7.99	1.91	247.5	2.74	0.45	2
NGC2903	7.99	1.91	262.5	3.29	0.50	2
NGC2903	7.99	1.91	277.5	3.57	0.52	2
NGC2903	7.99	1.91	292.5	3.88	0.51	2
NGC2903	7.99	1.91	307.5	4.21	0.49	2
NGC2903	7.99	1.91	322.5	4.48	0.48	2
NGC2903	7.99	1.91	337.5	3.88	0.46	2
NGC2903	7.99	1.91	352.5	3.36	0.46	2
NGC2903	7.99	1.91	367.5	3.23	0.41	2
NGC2903	7.99	1.91	382.5	3.29	0.50	2
NGC2903	7.99	1.91	397.5	3.36	0.58	2
NGC2976	3.82	0.86	7.5	6.01	nan	2
NGC2976	3.82	0.86	22.5	7.02	5.91	0
NGC2976	3.82	0.86	37.5	7.26	4.42	0
NGC2976	3.82	0.86	52.5	8.05	4.81	0
NGC2976	3.82	0.86	67.5	8.77	6.55	0
NGC2976	3.82	0.86	82.5	9.72	7.52	0
NGC2976	3.82	0.86	97.5	8.05	5.33	0
NGC2976	3.82	0.86	112.5	5.52	2.78	0
NGC2976	3.82	0.86	127.5	3.19	0.67	2
NGC2976	3.82	0.86	142.5	2.08	0.65	2
NGC2976	3.82	0.86	157.5	1.50	0.63	2
NGC2976	3.82	0.86	172.5	0.90	0.53	2
NGC2976	3.82	0.86	187.5	0.65	0.56	2
NGC2976	3.82	0.86	202.5	0.44	0.56	2
NGC2976	3.82	0.86	217.5	0.39	0.56	2
NGC2976	3.82	0.86	232.5	0.37	0.62	2
NGC2976	3.82	0.86	247.5	0.33	0.69	2
NGC2976	3.82	0.86	262.5	0.37	0.87	2
NGC2976	3.82	0.86	277.5	0.36	1.01	2
NGC2976	3.82	0.86	292.5	0.26	1.40	2
NGC2976	3.82	0.86	307.5	0.16	3.36	2
NGC2976	3.82	0.86	322.5	nan	nan	nan
NGC2976	3.82	0.86	337.5	nan	nan	nan
NGC2976	3.82	0.86	352.5	nan	nan	nan
NGC2976	3.82	0.86	367.5	nan	nan	nan
NGC2976	3.82	0.86	382.5	nan	nan	nan
NGC2976	3.82	0.86	397.5	nan	nan	nan
NGC3049	23.65	6.71	7.5	5.62	nan	2
NGC3049	23.65	6.71	22.5	5.51	2.91	1
NGC3049	23.65	6.71	37.5	5.62	0.96	2
